time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns,exploredpatterns2,accmlen,accmcrd,accmsup
255,678,190,9,foo1621588031504,2,4,0,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,4,0.0,0.0,0.0
519,678,74,3,foo1621588032698,2,3,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,3,3,0.0,0.0,0.0
271,1022,310,15,foo1621588033495,2,3,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,2,9,0.0,0.0,0.0
160,678,212,10,foo1621588034919,2,3,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,4,0.0,0.0,0.0
102,1218,278,13,foo1621588035364,3,2,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,8,0.0,0.0,0.0
267,0,216,10,foo1621588035713,1,1,7,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,7,35,0.0,0.0,0.0
194,0,172,8,foo1621588036194,1,1,6,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,6,22,0.0,0.0,0.0
211,0,132,6,foo1621588036591,1,1,5,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,5,11,0.0,0.0,0.0
157,0,102,4,foo1621588036987,1,3,1,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,3,6,0.0,0.0,0.0
93,0,72,3,foo1621588037352,1,1,1,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,1,0,NaN,NaN,NaN
144,0,96,4,foo1621588037614,1,2,1,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,4,6,0.0,0.0,0.0
120,0,70,3,foo1621588037910,1,1,2,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,2,1,0.0,0.0,0.0
127,0,70,3,foo1621588038189,1,1,2,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,2,1,0.0,0.0,0.0
130,0,122,5,foo1621588038483,1,1,6,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,6,8,0.0,0.0,0.0
98,1218,244,12,foo1621588038799,2,2,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,4,0.0,0.0,0.0
263,678,190,9,foo1621588166125,2,4,0,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,4,0.0,0.0,0.0
340,678,74,3,foo1621588167281,2,3,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,3,3,0.0,0.0,0.0
157,1022,310,15,foo1621588167877,2,3,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,2,9,0.0,0.0,0.0
164,678,212,10,foo1621588168297,2,3,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,4,0.0,0.0,0.0
125,1218,278,13,foo1621588168700,3,2,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,8,0.0,0.0,0.0
324,0,216,10,foo1621588169068,1,1,7,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,7,35,0.0,0.0,0.0
268,0,172,8,foo1621588169613,1,1,6,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,6,22,0.0,0.0,0.0
201,0,132,6,foo1621588170152,1,1,5,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,5,11,0.0,0.0,0.0
143,0,102,4,foo1621588170554,1,3,1,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,3,6,0.0,0.0,0.0
81,0,72,3,foo1621588170875,1,1,1,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,1,0,NaN,NaN,NaN
123,0,96,4,foo1621588171122,1,2,1,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,4,6,0.0,0.0,0.0
115,0,70,3,foo1621588171418,1,1,2,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,2,1,0.0,0.0,0.0
128,0,70,3,foo1621588171706,1,1,2,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,2,1,0.0,0.0,0.0
159,0,122,5,foo1621588172020,1,1,6,0,1,2147483647,1,3,12g,NoScale,1,Infinity,1,Infinity,6,8,0.0,0.0,0.0
83,1218,244,12,foo1621588172335,2,2,1,0,1,2147483647,1,3,12g,AbsoluteScale,1,Infinity,1,Infinity,1,4,0.0,0.0,0.0
